.	dot
-	dash
_	underscore
!	exclamation mark
#	number sign
$	dollar sign
%	percent
&	ampersand
'	quote
*	asterisk
+	plus
/	slash
=	equal sign
?	question mark
^	circumflex
`	right single quote
|	vertical bar
~	tilde
,	comma
