！
？
｡
。
＂
＃
＄
％
＆
＇
（
）
＊
＋
，
－
／
：
；
＜
＝
＞
＠
［
＼
］
＾
＿
｀
｛
｜
｝
～
｟
｠
｢
｣
､
、
〃
》
「
」
『
』
【
】
〔
〕
〖
〗
〘
〙
〚
〛
〜
〝
〞
〟
〰
–
—
‘
’
‛
“
”
„
‟
…
‧
﹏
