–
—
‘
’
‛
“
”
„
‟
…
‧
、
。
〃
《
》
「
」
『
』
【
】
〔
〕
〖
〗
〘
〙
〚
〛
〜
〝
〞
〟
〰
﹏
！
＂
＃
％
＆
＇
（
）
＊
＋
，
－
／
：
；
＜
＝
＞
？
＠
［
＼
］
＾
＿
｀
｛
｜
｝
～
｟
｠
｡
｢
｣
､
＄
