惻	恻
愛	爱
愜	惬
愨	悫
愴	怆
愷	恺
愽	博
愾	忾
慂	恿
慄	栗
慇	殷
態	态
慍	愠
慘	惨
慙	惭
慚	惭
慟	恸
慣	惯
慤	悫
慪	怄
慫	怂
慮	虑
慳	悭
慴	慑
慶	庆
慼	戚
慾	欲
憂	忧
憇	憩
憊	惫
憐	怜
憑	凭
憒	愦
憚	惮
憤	愤
憫	悯
憮	怃
憲	宪
憶	忆
懃	勤
懇	恳
應	应
懌	怿
懍	懔
懕	恹
懞	蒙
懟	怼
懣	懑
懨	恹
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
懽	欢
懾	慑
戀	恋
戇	戆
戔	戋
戧	戗
戩	戬
戯	戏
戰	战
戲	戏
戶	户
戹	厄
戼	帽
扡	扦
拏	拿
拕	拖
挐	拿
挱	挲
挾	挟
挿	插
捄	救
捨	舍
捫	扪
捲	卷
掃	扫
掄	抡
掙	挣
掛	挂
採	采
掽	碰
揀	拣
揑	捏
揚	扬
換	换
揫	揪
揮	挥
揹	背
搆	构
搇	揿
搉	榷
損	损
搖	摇
搗	捣
搥	捶
搨	拓
搯	掏
搶	抢
搾	榨
摑	掴
摜	掼
摟	搂
摣	揸
摯	挚
摳	抠
摶	抟
摻	掺
撈	捞
撐	撑
撓	挠
撚	捻
撟	挢
撡	操
撣	掸
撥	拨
撦	扯
撫	抚
撲	扑
撳	揿
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擊	击
擋	挡
擔	担
擕	携
據	据
擠	挤
擡	抬
擣	捣
擧	举
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擾	扰
攄	摅
攆	撵
攏	拢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攢	攒
攣	挛
攤	摊
攩	挡
攪	搅
攬	揽
攷	考
敂	叩
敍	叙
敗	败
敘	叙
敭	扬
敵	敌
數	数
敺	驱
斂	敛
斃	毙
斕	斓
斬	斩
斮	斫
斲	斫
斵	斫
斷	断
旂	旗
旾	春
昇	升
昬	昏
昰	是
時	时
晉	晋
晝	昼
晳	晰
晻	暗
暈	晕
暉	晖
暎	映
暠	皓
暢	畅
暫	暂
暱	昵
曄	晔
曆	历
曇	昙
曉	晓
曏	向
曖	暧
曠	旷
曡	叠
曬	晒
書	书
會	会
朢	望
朧	胧
朶	朵
東	东
枏	楠
枒	丫
枴	拐
柟	楠
柵	栅
柹	柿
柺	拐
査	查
栁	柳
桮	杯
桺	柳
桿	杆
梔	栀
梘	枧
條	条
梟	枭
梱	捆
棃	梨
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棧	栈
棬	桊
棲	栖
椀	碗
椏	桠
椗	碇
椶	棕
楊	杨
楓	枫
楥	楦
楨	桢
業	业
楳	梅
極	极
榦	干
榪	杩
榮	荣
榿	桤
槀	稿
槃	盘
構	构
槍	枪
槑	梅
槓	杠
槕	桌
槧	椠
槨	椁
槩	概
槳	桨
槼	规
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
樣	样
樷	丛
樸	朴
樹	树
樺	桦
橈	桡
橋	桥
橜	橛
機	机
橢	椭
橤	蕊
橫	横
橰	槔
檁	檩
檉	柽
檔	档
檜	桧
檝	楫
檢	检
檣	樯
檯	台
檳	槟
檸	柠
檻	槛
檾	苘
櫂	棹
