あ
い
う
え
お
か
き
く
け
こ
さ
し
す
せ
そ
た
ち
つ
て
と
な
に
ぬ
ね
の
は
ひ
ふ
へ
ほ
ま
み
む
め
も
や
ゆ
よ
ら
り
る
れ
ろ
わ
を
ん
ア
イ
ウ
エ
オ
カ
キ
ク
ケ
コ
サ
シ
ス
セ
ソ
タ
チ
ツ
テ
ト
ナ
ニ
ヌ
ネ
ノ
ハ
ヒ
フ
ヘ
ホ
マ
ミ
ム
メ
モ
ヤ
ユ
ヨ
ラ
リ
ル
レ
ロ
ワ
ヲ
ン
が
ぎ
ぐ
げ
ご
ざ
じ
ず
ぜ
ぞ
だ
ぢ
づ
で
ど
ば
び
ぶ
べ
ぼ
ぱ
ぴ
ぷ
ぺ
ぽ
ガ
ギ
グ
ゲ
ゴ
ザ
ジ
ズ
ゼ
ゾ
ダ
ヂ
ヅ
デ
ド
バ
ビ
ブ
ベ
ボ
パ
ピ
プ
ペ
ポ
ャ
ァ
ィ
ュ
ッ
ゥ
ェ
ョ
ォ
ぁ
ぃ
ぅ
ぇ
ぉ
っ
ゃ
ゅ
ょ
