–
—
‘
’
‛
“
”
„
‟
…
‧
、
。
〃
》
「
」
『
』
【
】
〔
〕
〖
〗
〘
〙
〚
〛
〜
〝
〞
〟
〰
﹏
！
＂
＃
％
＆
＇
（
）
＊
＋
，
－
／
：
；
＜
＝
＞
？
＠
［
＼
］
＾
＿
｀
｛
｜
｝
～
｟
｠
｡
｢
｣
､
＄
