つ
枚
部
台
杯
匹
本
階
個
箇
个
ヶ
面
名
人
歳
才
冊
話
秒
分
月
泊
時
時間
日
ヶ月
箇月
年
日
週
倍
番
度
畳
回
年前
年後
年以内
平方
平方メートル
立方
立方メートル
キロ
キロメトル
世紀
年代
