Hon.	Honorable
Mr.	Mister
Mrs.	Misses
Ms.	Miss
Mr	Mister
Mrs	Misses
Ms	Miss
&Co.	and Co.
&Co.	and Company
Mon	Monday
Tu	Tuesday
Wed	Wednesday
Th	Thursday
Thur	Thursday
Thurs	Thursday
Fri	Friday
Sat	Saturday
Sun	Sunday
=	equals
#	number
No.	number
NO.	number
NO.	number
No.	number
VOL.	Volume
TV	Television
