&	and
#	hash
@	at
§	section
™	trademark
®	registered trademark
©	copyright
_	underscore
%	percent
*	asterisk
+	plus
/	slash
=	equal sign
^	circumflex
|	vertical bar
~	tilde
$	dollar
£	pound
€	euro
₩	won
¥	yen
°	degree
º	degree
